Rank,Municipality,State,2000 Population,1990 Population,Change in Population
469,Monterey Park city,California,60051,60738,-1.10%
470,Delray Beach city,Florida,60020,47181,27.20%
471,Chico city,California,59954,40079,49.60%
472,North Miami city,Florida,59880,49998,19.80%
473,Anderson city,Indiana,59734,59459,0.50%
474,Jackson city TN,Tennessee,59643,48949,21.80%
475,Terre Haute city,Indiana,59614,57483,3.70%
476,Rapid City city,South Dakota,59607,54523,9.30%
477,Janesville city,Wisconsin,59498,52133,14.10%
478,Waltham city,Massachusetts,59226,57878,2.30%
479,St. Cloud city,Minnesota,59107,48812,21.10%
480,La Habra city,California,58974,51266,15.00%
481,Haverhill city,Massachusetts,58969,51418,14.70%
482,Yorba Linda city,California,58918,52422,12.40%
483,Hemet city,California,58812,36094,62.90%
484,Marietta city,Georgia,58748,44129,33.10%
485,Des Plaines city,Illinois,58720,53223,10.30%
486,Lake Forest city,California,58707,62685,-6.30%
487,Palo Alto city,California,58598,55900,4.80%
488,Layton city,Utah,58474,41784,39.90%
489,Council Bluffs city,Iowa,58268,54315,7.30%
490,Dearborn Heights city,Michigan,58264,60838,-4.20%
491,Meriden city,Connecticut,58244,59479,-2.10%
492,Lakewood city WA,Washington,58211,58412,-0.30%
493,Fayetteville city AR,Arkansas,58047,42099,37.90%
494,Encinitas city,California,58014,55386,4.70%
495,Port Arthur city,Texas,57755,58724,-1.70%
496,Gardena city,California,57746,49847,15.80%
497,Dothan city,Alabama,57737,53589,7.70%
498,Temecula city,California,57716,27099,113.00%
499,Dubuque city,Iowa,57686,57546,0.20%
500,Lauderhill city,Florida,57585,49708,15.80%
501,Harlingen city,Texas,57564,48735,18.10%
502,Kettering city,Ohio,57502,60569,-5.10%
503,Taylorsville city,Utah,57439,52351,9.70%
504,Galveston city,Texas,57247,59070,-3.10%
505,Camarillo city,California,57077,52303,9.10%
506,Missoula city,Montana,57053,42918,32.90%
507,Lodi city,California,56999,51874,9.90%
508,Tracy city,California,56929,33558,69.60%
509,Pittsburg city,California,56769,47564,19.40%
510,Great Falls city,Montana,56690,55097,2.90%
511,Lakewood city OH,Ohio,56646,59718,-5.10%
512,Hempstead village,New York,56554,49453,14.40%
513,Bossier City city,Louisiana,56461,52721,7.10%
514,Lafayette city IN,Indiana,56397,43764,28.90%
515,Lancaster city PA,Pennsylvania,56348,55551,1.40%
516,Malden city,Massachusetts,56340,53884,4.60%
517,Bolingbrook village,Illinois,56321,40843,37.90%
518,Diamond Bar city,California,56287,53672,4.90%
519,Vineland city,New Jersey,56271,54780,2.70%
520,Mount Prospect village,Illinois,56265,53170,5.80%
521,Pensacola city,Florida,56255,58165,-3.30%
522,San Rafael city,California,56063,48404,15.80%
523,Greenville city SC,South Carolina,56002,58282,-3.90%
524,Concord city NC,North Carolina,55977,27347,104.70%
525,Taunton city,Massachusetts,55976,49832,12.30%
526,Elyria city,Ohio,55953,56746,-1.40%
527,Rocky Mount city,North Carolina,55893,48997,14.10%
528,Turlock city,California,55810,42198,32.30%
529,Medford city MA,Massachusetts,55765,57407,-2.90%
530,North Richland Hills city,Texas,55635,45895,21.20%
531,Niagara Falls city,New York,55593,61840,-10.10%
532,Tamarac city,Florida,55588,44822,24.00%
533,Bismarck city,North Dakota,55532,49256,12.70%
534,Jonesboro city,Arkansas,55515,46535,19.30%
535,Johnson City city,Tennessee,55469,49381,12.30%
536,Wheaton city,Illinois,55416,51464,7.70%
537,Paramount city,California,55266,47669,15.90%
538,Oak Lawn village,Illinois,55245,56182,-1.70%
539,Pine Bluff city,Arkansas,55085,57140,-3.60%
540,Fountain Valley city,California,54978,53691,2.40%
541,San Marcos city,California,54977,38974,41.10%
542,Eden Prairie city,Minnesota,54901,39311,39.70%
543,La Mesa city,California,54749,52931,3.40%
544,Kennewick city,Washington,54693,42155,29.70%
545,Chicopee city,Massachusetts,54653,56632,-3.50%
546,Santa Cruz city,California,54593,49040,11.30%
547,Petaluma city,California,54548,43184,26.30%
548,Temple city,Texas,54514,46109,18.20%
549,McKinney city,Texas,54369,21283,155.50%
550,National City city,California,54260,54249,0.00%
551,Apple Valley town,California,54239,46079,17.70%
552,Midwest City city,Oklahoma,54088,52267,3.50%
553,Owensboro city,Kentucky,54067,53549,1.00%
554,Berwyn city,Illinois,54016,45426,18.90%
555,Decatur city AL,Alabama,53929,48761,10.60%
556,Margate city,Florida,53909,42985,25.40%
557,Rosemead city,California,53505,51638,3.60%
558,Charleston city WV,West Virginia,53421,57287,-6.70%
559,Battle Creek city,Michigan,53364,53540,-0.30%
560,Monroe city,Louisiana,53107,54909,-3.30%
561,White Plains city,New York,53077,48718,8.90%
